Section,Test,N_Total,Frustration_f,Instructional_f,Independent_f
Punongbayan,Pre,39,4,18,17
Punongbayan,Post,39,0,19,20
Almeda,Pre,40,4,13,23
Almeda,Post,40,0,16,24
Alcala,Pre,53,11,29,13
Alcala,Post,53,3,35,15
Topacio,Pre,43,5,24,14
Topacio,Post,43,2,27,14
Sicat,Pre,44,8,12,24
Sicat,Post,44,3,14,27
Velasquez,Pre,45,8,23,14
Velasquez,Post,45,2,27,16
Zara,Pre,44,13,27,4
Zara,Post,44,4,36,4
De Ocampo,Pre,53,21,24,8
De Ocampo,Post,53,7,35,11
Gomez,Pre,45,7,29,9
Gomez,Post,45,3,33,9
Del Mundo,Pre,47,15,27,5
Del Mundo,Post,47,5,37,5
Lagmay,Pre,41,4,19,8
Lagmay,Post,41,4,28,9
